anio_mes,SOURCES,ID_ANIME,Acumulado
2002-08-01,Light novel,0.0,9.0
2002-08-01,Manga,4.0,111.0
2002-08-01,Music,0.0,1.0
2002-08-01,Novel,1.0,12.0
2002-08-01,Original,4.0,67.0
2002-08-01,Other,1.0,6.0
2002-08-01,Picture book,0.0,4.0
2002-08-01,Radio,0.0,0.0
2002-08-01,Unknown,9.0,205.0
2002-08-01,Visual novel,3.0,18.0
2002-08-01,Web manga,0.0,0.0
2004-04-01,4-koma manga,1.0,26.0
2004-04-01,Book,0.0,4.0
2004-04-01,Card game,0.0,1.0
2004-04-01,Digital manga,0.0,0.0
2004-04-01,Game,1.0,19.0
2004-04-01,Light novel,2.0,11.0
2004-04-01,Manga,20.0,131.0
2004-04-01,Music,1.0,2.0
2004-04-01,Novel,1.0,13.0
2004-04-01,Original,12.0,79.0
2004-04-01,Other,0.0,6.0
2004-04-01,Picture book,0.0,4.0
2004-04-01,Radio,0.0,0.0
2004-04-01,Unknown,14.0,219.0
2004-04-01,Visual novel,6.0,24.0
2004-04-01,Web manga,0.0,0.0
2004-08-01,4-koma manga,1.0,27.0
2004-08-01,Book,0.0,4.0
2004-08-01,Card game,0.0,1.0
2004-08-01,Digital manga,0.0,0.0
2004-08-01,Game,0.0,19.0
2004-08-01,Light novel,0.0,11.0
2004-08-01,Manga,5.0,136.0
2004-08-01,Music,0.0,2.0
2004-08-01,Novel,0.0,13.0
2004-08-01,Original,4.0,83.0
2004-08-01,Other,0.0,6.0
2004-08-01,Picture book,0.0,4.0
2004-08-01,Radio,0.0,0.0
2004-08-01,Unknown,9.0,228.0
2004-08-01,Visual novel,5.0,29.0
2004-08-01,Web manga,0.0,0.0
2005-01-01,4-koma manga,1.0,28.0
2005-01-01,Book,0.0,4.0
2005-01-01,Card game,0.0,1.0
2005-01-01,Digital manga,0.0,0.0
2005-01-01,Game,1.0,20.0
2005-01-01,Light novel,2.0,13.0
2005-01-01,Manga,11.0,147.0
2005-01-01,Music,0.0,2.0
2005-01-01,Novel,0.0,13.0
2005-01-01,Original,4.0,87.0
2005-01-01,Other,1.0,7.0
2005-01-01,Picture book,0.0,4.0
2005-01-01,Radio,0.0,0.0
2005-01-01,Unknown,10.0,238.0
2005-01-01,Visual novel,4.0,33.0
2005-01-01,Web manga,0.0,0.0
2005-06-01,4-koma manga,1.0,29.0
2005-06-01,Book,0.0,4.0
2005-06-01,Card game,0.0,1.0
2005-06-01,Digital manga,0.0,0.0
2005-06-01,Game,1.0,21.0
2005-06-01,Light novel,0.0,13.0
2005-06-01,Manga,3.0,150.0
2005-06-01,Music,0.0,2.0
2005-06-01,Novel,1.0,14.0
2005-06-01,Original,2.0,89.0
2005-06-01,Other,0.0,7.0
2005-06-01,Picture book,0.0,4.0
2005-06-01,Radio,0.0,0.0
2005-06-01,Unknown,4.0,242.0
2005-06-01,Visual novel,4.0,37.0
2005-06-01,Web manga,0.0,0.0
2005-07-01,4-koma manga,1.0,30.0
2005-07-01,Book,0.0,4.0
2005-07-01,Card game,0.0,1.0
2005-07-01,Digital manga,0.0,0.0
2005-07-01,Game,2.0,23.0
2005-07-01,Light novel,3.0,16.0
2005-07-01,Manga,7.0,157.0
2005-07-01,Music,0.0,2.0
2005-07-01,Novel,1.0,15.0
2005-07-01,Original,8.0,97.0
2005-07-01,Other,0.0,7.0
2005-07-01,Picture book,0.0,4.0
2005-07-01,Radio,0.0,0.0
2005-07-01,Unknown,11.0,253.0
2005-07-01,Visual novel,7.0,44.0
2005-07-01,Web manga,0.0,0.0
2006-12-01,4-koma manga,1.0,31.0
2006-12-01,Book,0.0,4.0
2006-12-01,Card game,0.0,1.0
2006-12-01,Digital manga,0.0,0.0
2006-12-01,Game,1.0,24.0
2006-12-01,Light novel,2.0,18.0
2006-12-01,Manga,4.0,161.0
2006-12-01,Music,0.0,2.0
2006-12-01,Novel,0.0,15.0
2006-12-01,Original,8.0,105.0
2006-12-01,Other,0.0,7.0
2006-12-01,Picture book,0.0,4.0
2006-12-01,Radio,0.0,0.0
2006-12-01,Unknown,8.0,261.0
2006-12-01,Visual novel,3.0,47.0
2006-12-01,Web manga,0.0,0.0
2007-01-01,4-koma manga,1.0,32.0
2007-01-01,Book,1.0,5.0
2007-01-01,Card game,0.0,1.0
2007-01-01,Digital manga,0.0,0.0
2007-01-01,Game,3.0,27.0
2007-01-01,Light novel,0.0,18.0
2007-01-01,Manga,5.0,166.0
2007-01-01,Music,0.0,2.0
2007-01-01,Novel,1.0,16.0
2007-01-01,Original,9.0,114.0
2007-01-01,Other,1.0,8.0
2007-01-01,Picture book,0.0,4.0
2007-01-01,Radio,0.0,0.0
2007-01-01,Unknown,4.0,265.0
2007-01-01,Visual novel,4.0,51.0
2007-01-01,Web manga,0.0,0.0
2007-02-01,4-koma manga,1.0,33.0
2007-02-01,Book,0.0,5.0
2007-02-01,Card game,0.0,1.0
2007-02-01,Digital manga,0.0,0.0
2007-02-01,Game,1.0,28.0
2007-02-01,Light novel,1.0,19.0
2007-02-01,Manga,8.0,174.0
2007-02-01,Music,0.0,2.0
2007-02-01,Novel,1.0,17.0
2007-02-01,Original,2.0,116.0
2007-02-01,Other,0.0,8.0
2007-02-01,Picture book,0.0,4.0
2007-02-01,Radio,0.0,0.0
2007-02-01,Unknown,5.0,270.0
2007-02-01,Visual novel,3.0,54.0
2007-02-01,Web manga,0.0,0.0
2007-04-01,4-koma manga,1.0,34.0
2007-04-01,Book,1.0,6.0
2007-04-01,Card game,0.0,1.0
2007-04-01,Digital manga,0.0,0.0
2007-04-01,Game,2.0,30.0
2007-04-01,Light novel,5.0,24.0
2007-04-01,Manga,21.0,195.0
2007-04-01,Music,1.0,3.0
2007-04-01,Novel,3.0,20.0
2007-04-01,Original,16.0,132.0
2007-04-01,Other,3.0,11.0
2007-04-01,Picture book,0.0,4.0
2007-04-01,Radio,0.0,0.0
2007-04-01,Unknown,16.0,286.0
2007-04-01,Visual novel,7.0,61.0
2007-04-01,Web manga,0.0,0.0
2007-07-01,4-koma manga,2.0,36.0
2007-07-01,Book,0.0,6.0
2007-07-01,Card game,0.0,1.0
2007-07-01,Digital manga,0.0,0.0
2007-07-01,Game,1.0,31.0
2007-07-01,Light novel,3.0,27.0
2007-07-01,Manga,10.0,205.0
2007-07-01,Music,0.0,3.0
2007-07-01,Novel,0.0,20.0
2007-07-01,Original,5.0,137.0
2007-07-01,Other,2.0,13.0
2007-07-01,Picture book,0.0,4.0
2007-07-01,Radio,0.0,0.0
2007-07-01,Unknown,6.0,292.0
2007-07-01,Visual novel,7.0,68.0
2007-07-01,Web manga,1.0,1.0
2007-09-01,4-koma manga,1.0,37.0
2007-09-01,Book,0.0,6.0
2007-09-01,Card game,0.0,1.0
2007-09-01,Digital manga,0.0,0.0
2007-09-01,Game,1.0,32.0
2007-09-01,Light novel,0.0,27.0
2007-09-01,Manga,8.0,213.0
2007-09-01,Music,0.0,3.0
2007-09-01,Novel,0.0,20.0
2007-09-01,Original,5.0,142.0
2007-09-01,Other,0.0,13.0
2007-09-01,Picture book,0.0,4.0
2007-09-01,Radio,0.0,0.0
2007-09-01,Unknown,2.0,294.0
2007-09-01,Visual novel,3.0,71.0
2007-09-01,Web manga,0.0,1.0
2007-10-01,4-koma manga,2.0,39.0
2007-10-01,Book,0.0,6.0
2007-10-01,Card game,0.0,1.0
2007-10-01,Digital manga,0.0,0.0
2007-10-01,Game,3.0,35.0
2007-10-01,Light novel,4.0,31.0
2007-10-01,Manga,19.0,232.0
2007-10-01,Music,1.0,4.0
2007-10-01,Novel,0.0,20.0
2007-10-01,Original,12.0,154.0
2007-10-01,Other,1.0,14.0
2007-10-01,Picture book,1.0,5.0
2007-10-01,Radio,0.0,0.0
2007-10-01,Unknown,8.0,302.0
2007-10-01,Visual novel,9.0,80.0
2007-10-01,Web manga,0.0,1.0
2007-12-01,4-koma manga,1.0,40.0
2007-12-01,Book,0.0,6.0
2007-12-01,Card game,0.0,1.0
2007-12-01,Digital manga,0.0,0.0
2007-12-01,Game,0.0,35.0
2007-12-01,Light novel,2.0,33.0
2007-12-01,Manga,4.0,236.0
2007-12-01,Music,0.0,4.0
2007-12-01,Novel,0.0,20.0
2007-12-01,Original,3.0,157.0
2007-12-01,Other,0.0,14.0
2007-12-01,Picture book,1.0,6.0
2007-12-01,Radio,0.0,0.0
2007-12-01,Unknown,10.0,312.0
2007-12-01,Visual novel,8.0,88.0
2007-12-01,Web manga,0.0,1.0
2008-01-01,4-koma manga,1.0,41.0
2008-01-01,Book,0.0,6.0
2008-01-01,Card game,0.0,1.0
2008-01-01,Digital manga,0.0,0.0
2008-01-01,Game,0.0,35.0
2008-01-01,Light novel,1.0,34.0
2008-01-01,Manga,12.0,248.0
2008-01-01,Music,1.0,5.0
2008-01-01,Novel,1.0,21.0
2008-01-01,Original,6.0,163.0
2008-01-01,Other,0.0,14.0
2008-01-01,Picture book,0.0,6.0
2008-01-01,Radio,0.0,0.0
2008-01-01,Unknown,10.0,322.0
2008-01-01,Visual novel,3.0,91.0
2008-01-01,Web manga,0.0,1.0
2008-06-01,4-koma manga,1.0,42.0
2008-06-01,Book,0.0,6.0
2008-06-01,Card game,0.0,1.0
2008-06-01,Digital manga,0.0,0.0
2008-06-01,Game,0.0,35.0
2008-06-01,Light novel,0.0,34.0
2008-06-01,Manga,2.0,250.0
2008-06-01,Music,0.0,5.0
2008-06-01,Novel,2.0,23.0
2008-06-01,Original,4.0,167.0
2008-06-01,Other,2.0,16.0
2008-06-01,Picture book,0.0,6.0
2008-06-01,Radio,0.0,0.0
